card_use_amt,crtr_ym,emd_cd,emd_nm,mbl_use_amt,mbl_user_cnt,par_ag,par_gend,stlm_amt,stlm_nocs,usage_rgn_cd
0,202204,41131110,오야동,10000,1,01,M,10000,1,41131
0,202204,41131111,심곡동,215500,26,01,M,215500,26,41131
22400,202205,41131101,신흥동,4855930,168,01,M,4878330,174,41131
6600,202205,41131102,태평동,6363190,126,01,M,6369790,128,41131
0,202205,41131103,수진동,3216520,73,01,M,3216520,73,41131
0,202205,41131104,단대동,2819810,44,01,M,2819810,44,41131
0,202205,41131105,산성동,139500,14,01,M,139500,14,41131
0,202205,41131106,양지동,775800,34,01,M,775800,34,41131
27500,202205,41131107,복정동,361400,8,01,M,388900,9,41131
0,202205,41131108,창곡동,31230950,418,01,M,31230950,418,41131
0,202205,41131111,심곡동,68200,10,01,M,68200,10,41131
0,202205,41131112,고등동,290340,35,01,M,290340,35,41131
3300,202206,41131101,신흥동,6126780,123,01,M,6130080,125,41131
0,202206,41131102,태평동,7028170,108,01,M,7028170,108,41131
42000,202206,41131103,수진동,1842180,45,01,M,1884180,47,41131
0,202206,41131104,단대동,2018450,23,01,M,2018450,23,41131
0,202206,41131105,산성동,333800,8,01,M,333800,8,41131
23600,202206,41131106,양지동,710600,16,01,M,734200,20,41131
12400,202206,41131107,복정동,356700,7,01,M,369100,9,41131
0,202206,41131108,창곡동,22761891,296,01,M,22761891,296,41131
0,202206,41131111,심곡동,41050,5,01,M,41050,5,41131
0,202206,41131112,고등동,269860,23,01,M,269860,23,41131
0,202207,41131101,신흥동,4763010,127,01,M,4763010,127,41131
0,202207,41131102,태평동,5826440,81,01,M,5826440,81,41131
0,202207,41131103,수진동,2795480,70,01,M,2795480,70,41131
0,202207,41131104,단대동,2813900,18,01,M,2813900,18,41131
7000,202207,41131105,산성동,175100,5,01,M,182100,6,41131
50100,202207,41131106,양지동,1185900,20,01,M,1236000,23,41131
0,202207,41131107,복정동,317700,3,01,M,317700,3,41131
0,202207,41131108,창곡동,28565910,355,01,M,28565910,355,41131
0,202207,41131110,오야동,10300,2,01,M,10300,2,41131
0,202207,41131111,심곡동,28250,9,01,M,28250,9,41131
10000,202208,41131101,신흥동,3053060,101,01,M,3063060,102,41131
0,202208,41131102,태평동,2007960,53,01,M,2007960,53,41131
0,202208,41131103,수진동,987230,55,01,M,987230,55,41131
0,202208,41131104,단대동,212130,29,01,M,212130,29,41131
0,202208,41131105,산성동,38800,4,01,M,38800,4,41131
32000,202208,41131106,양지동,63400,4,01,M,95400,9,41131
0,202208,41131107,복정동,6600,1,01,M,6600,1,41131
0,202208,41131108,창곡동,6684490,206,01,M,6684490,206,41131
0,202208,41131110,오야동,36100,4,01,M,36100,4,41131
0,202208,41131111,심곡동,7200,2,01,M,7200,2,41131
0,202209,41131101,신흥동,2807400,119,01,M,2807400,119,41131
4680,202209,41131102,태평동,1932400,71,01,M,1937080,72,41131
0,202209,41131103,수진동,825450,53,01,M,825450,53,41131
0,202209,41131104,단대동,290610,49,01,M,290610,49,41131
0,202209,41131106,양지동,544900,22,01,M,544900,22,41131
0,202209,41131107,복정동,100300,5,01,M,100300,5,41131
16000,202209,41131108,창곡동,8204110,206,01,M,8220110,207,41131
0,202209,41131111,심곡동,111250,12,01,M,111250,12,41131
0,202209,41131112,고등동,71580,8,01,M,71580,8,41131
0,202209,41131115,시흥동,120000,1,01,M,120000,1,41131
19900,202210,41131101,신흥동,7551450,443,01,M,7571350,450,41131
48150,202210,41131102,태평동,4586789,254,01,M,4634939,260,41131
0,202210,41131103,수진동,2758190,151,01,M,2758190,151,41131
0,202210,41131104,단대동,555330,87,01,M,555330,87,41131
0,202210,41131105,산성동,237990,32,01,M,237990,32,41131
15000,202210,41131106,양지동,1382690,120,01,M,1397690,122,41131
0,202210,41131107,복정동,318250,34,01,M,318250,34,41131
0,202210,41131108,창곡동,7531435,307,01,M,7531435,307,41131
0,202210,41131110,오야동,54700,7,01,M,54700,7,41131
0,202210,41131111,심곡동,211350,38,01,M,211350,38,41131
38280,202211,41131101,신흥동,4383260,161,01,M,4421540,168,41131
38820,202211,41131102,태평동,2966720,124,01,M,3005540,131,41131
0,202211,41131103,수진동,1103400,62,01,M,1103400,62,41131
0,202211,41131104,단대동,953020,45,01,M,953020,45,41131
0,202211,41131105,산성동,91600,8,01,M,91600,8,41131
16400,202211,41131106,양지동,301530,34,01,M,317930,38,41131
0,202211,41131107,복정동,152000,10,01,M,152000,10,41131
9000,202211,41131108,창곡동,7116804,217,01,M,7125804,218,41131
0,202211,41131110,오야동,33900,4,01,M,33900,4,41131
0,202211,41131111,심곡동,24100,5,01,M,24100,5,41131
286600,202212,41131101,신흥동,5226190,105,01,M,5512790,108,41131
14600,202212,41131102,태평동,4134910,84,01,M,4149510,87,41131
0,202212,41131103,수진동,539730,41,01,M,539730,41,41131
0,202212,41131104,단대동,896610,27,01,M,896610,27,41131
0,202212,41131105,산성동,339900,7,01,M,339900,7,41131
2000,202212,41131106,양지동,144400,9,01,M,146400,10,41131
0,202212,41131107,복정동,101100,6,01,M,101100,6,41131
0,202212,41131108,창곡동,14449440,252,01,M,14449440,252,41131
0,202212,41131111,심곡동,5200,1,01,M,5200,1,41131
0,202212,41131112,고등동,403550,18,01,M,403550,18,41131
67000,202301,41131101,신흥동,3614160,73,01,M,3681160,77,41131
23500,202301,41131102,태평동,2690920,88,01,M,2714420,89,41131
0,202301,41131103,수진동,1268900,34,01,M,1268900,34,41131
0,202301,41131104,단대동,577200,10,01,M,577200,10,41131
0,202301,41131105,산성동,861800,16,01,M,861800,16,41131
36400,202301,41131106,양지동,176100,11,01,M,212500,16,41131
0,202301,41131107,복정동,231000,5,01,M,231000,5,41131
0,202301,41131108,창곡동,10177640,212,01,M,10177640,212,41131
0,202301,41131111,심곡동,55400,10,01,M,55400,10,41131
0,202301,41131112,고등동,361100,9,01,M,361100,9,41131
28000,202302,41131101,신흥동,6787150,105,01,M,6815150,109,41131
0,202302,41131102,태평동,3239410,91,01,M,3239410,91,41131
0,202302,41131103,수진동,1817200,28,01,M,1817200,28,41131
0,202302,41131104,단대동,1170800,15,01,M,1170800,15,41131
0,202302,41131105,산성동,907500,17,01,M,907500,17,41131
2900,202302,41131106,양지동,288500,13,01,M,291400,14,41131
13000,202302,41131107,복정동,478300,8,01,M,491300,10,41131
10000,202302,41131108,창곡동,20347900,279,01,M,20357900,280,41131
0,202302,41131111,심곡동,13600,3,01,M,13600,3,41131
0,202302,41131112,고등동,152500,14,01,M,152500,14,41131
90700,202303,41131101,신흥동,7604010,302,01,M,7694710,312,41131
47390,202303,41131102,태평동,5001130,214,01,M,5048520,221,41131
0,202303,41131103,수진동,2118700,74,01,M,2118700,74,41131
0,202303,41131104,단대동,1406500,35,01,M,1406500,35,41131
0,202303,41131105,산성동,167000,27,01,M,167000,27,41131
12200,202303,41131106,양지동,868300,59,01,M,880500,60,41131
198900,202303,41131107,복정동,694410,45,01,M,893310,59,41131
17500,202303,41131108,창곡동,14878245,324,01,M,14895745,326,41131
0,202303,41131110,오야동,5900,1,01,M,5900,1,41131
0,202303,41131111,심곡동,284070,44,01,M,284070,44,41131
100700,202304,41131101,신흥동,6233230,317,01,M,6333930,333,41131
197050,202304,41131102,태평동,5158030,220,01,M,5355080,245,41131
17000,202304,41131103,수진동,2065300,87,01,M,2082300,88,41131
8000,202304,41131104,단대동,914700,63,01,M,922700,64,41131
0,202304,41131105,산성동,224300,32,01,M,224300,32,41131
13500,202304,41131106,양지동,621350,56,01,M,634850,58,41131
167100,202304,41131107,복정동,528670,50,01,M,695770,64,41131
37500,202304,41131108,창곡동,13676480,354,01,M,13713980,358,41131
0,202304,41131111,심곡동,335750,62,01,M,335750,62,41131
0,202304,41131112,고등동,328100,26,01,M,328100,26,41131
11500,202305,41131101,신흥동,4476890,175,01,M,4488390,179,41131
124000,202305,41131102,태평동,4168430,128,01,M,4292430,138,41131
42600,202305,41131103,수진동,1578260,59,01,M,1620860,66,41131
0,202305,41131104,단대동,1011600,51,01,M,1011600,51,41131
0,202305,41131105,산성동,205500,22,01,M,205500,22,41131
0,202305,41131106,양지동,496000,30,01,M,496000,30,41131
252000,202305,41131107,복정동,212800,18,01,M,464800,37,41131
163500,202305,41131108,창곡동,12625810,284,01,M,12789310,289,41131
0,202305,41131110,오야동,14300,2,01,M,14300,2,41131
0,202305,41131111,심곡동,55200,9,01,M,55200,9,41131
20900,202306,41131101,신흥동,2227260,92,01,M,2248160,96,41131
48400,202306,41131102,태평동,2948740,75,01,M,2997140,80,41131
2600,202306,41131103,수진동,1254100,39,01,M,1256700,41,41131
0,202306,41131104,단대동,736950,31,01,M,736950,31,41131
0,202306,41131105,산성동,130400,15,01,M,130400,15,41131
17900,202306,41131106,양지동,173550,15,01,M,191450,17,41131
78200,202306,41131107,복정동,210100,16,01,M,288300,22,41131
0,202306,41131108,창곡동,10456065,233,01,M,10456065,233,41131
0,202306,41131110,오야동,3700,1,01,M,3700,1,41131
0,202306,41131111,심곡동,26000,6,01,M,26000,6,41131
0,202307,41131101,신흥동,2579090,104,01,M,2579090,104,41131
134450,202307,41131102,태평동,3878230,61,01,M,4012680,70,41131
0,202307,41131103,수진동,1265900,32,01,M,1265900,32,41131
0,202307,41131104,단대동,523300,15,01,M,523300,15,41131
0,202307,41131105,산성동,415000,13,01,M,415000,13,41131
25900,202307,41131106,양지동,354900,21,01,M,380800,23,41131
15800,202307,41131107,복정동,82950,8,01,M,98750,9,41131
0,202307,41131108,창곡동,13256330,247,01,M,13256330,247,41131
0,202307,41131112,고등동,96000,3,01,M,96000,3,41131
0,202307,41131115,시흥동,30340,2,01,M,30340,2,41131
26700,202308,41131101,신흥동,3238880,91,01,M,3265580,93,41131
0,202308,41131102,태평동,1640800,35,01,M,1640800,35,41131
13000,202308,41131103,수진동,1049900,21,01,M,1062900,22,41131
